Player,FGM,FGA,FG%,Zone
Dwight Howard,542,916,59.17%,PaintFGA
Pau Gasol,478,787,60.74%,PaintFGA
Shaquille O'Neal,481,752,63.96%,PaintFGA
Dwyane Wade,471,750,62.80%,PaintFGA
Yao Ming,428,737,58.07%,PaintFGA
Dirk Nowitzki,453,951,47.6,Mid-rangeFGA
Kobe Bryant,319,759,42,Mid-rangeFGA
Dwyane Wade,297,714,41.6,Mid-rangeFGA
Kevin Durant,258,653,39.5,Mid-rangeFGA
Chris Bosh,292,637,45.8,Mid-rangeFGA
Rashard Lewis,219,552,39.67%,3PFGA
Ray Allen,197,483,40.79%,3PFGA
Al Harrington,171,469,36.46%,3PFGA
Jason Terry,167,455,36.70%,3PFGA
Danny Granger,182,448,40.63%,3PFGA
