Player,FGM,FGA,FG%,Zone
Andre Drummond,547,977,55.99%,PaintFGA
Giannis Antetokounmpo,629,930,67.63%,PaintFGA
Ben Simmons,526,887,59.30%,PaintFGA
Montrezl Harrell,530,835,63.47%,PaintFGA
Nikola Vucevic,491,834,58.87%,PaintFGA
James Harden,378,1027,36.81%,3PFGA
Stephen Curry,353,799,44.18%,3PFGA
Paul George,290,749,38.72%,3PFGA
Kemba Walker,259,721,35.92%,3PFGA
Buddy Hield,277,648,42.75%,3PFGA
LaMarcus Aldridge,257,572,44.9
DeMar DeRozan,224,553,40.5,Mid-rangeFGA
Kevin Durant,254,461,55.1,Mid-rangeFGA
Klay Thompson,203,448,45.3,Mid-rangeFGA
Collin Sexton,145,370,39.2,Mid-rangeFGA






