Player,FGM,FGA,FG%,Zone
Blake Griffin,534,851,62.75%,PaintFGA
Greg Monroe,451,848,53.18%,PaintFGA
DeMarcus Cousins,445,826,53.87%,PaintFGA
Al Jefferson,492,823,59.78%,PaintFGA
Zach Randolph,410,819,50.06%,PaintFGA
LaMarcus Aldridge,379,899,42.2,Mid-rangeFGA
Carmelo Anthony,339,766,44.3,Mid-rangeFGA
DeMar DeRozan,286,723,39.6,Mid-rangeFGA
Dirk Nowitzki,357,709,50.4,Mid-rangeFGA
Al Jefferson,205,538,38.1,Mid-rangeFGA
Stephen Curry,261,610,42.79%,3PFGA
Damian Lillard,218,553,39.42%,3PFGA
Klay Thompson,223,532,41.92%,3PFGA
Wesley Matthews,201,511,39.33%,3PFGA
Gerald Green,203,507,40.04%,3PFGA



